Aruba,12,-69
Afghanistan,33,65
Angola,-12,18
Anguilla,18,-63
Albania,41,20
Andorra,42,1
United Arab Emirates,24,54
Argentina,-34,-64
Armenia,40,45
American Samoa,-14,-170
Antigua and Barbuda,17,-61
Australia,-27,133
Austria,47,13
Azerbaijan,40,47
Burundi,-3,30
Belgium,50,4
Benin,9,2
Burkina Faso,13,-2
Bangladesh,24,90
Bulgaria,43,25
Bahrain,26,50
The Bahamas,24,-76
Bosnia and Herzegovina,44,18
Belarus,53,28
Belize,17,-88
Bermuda,32,-64
Bolivia,-17,-65
Brazil,-10,-55
Barbados,13,-59
Brunei,4,114
Bhutan,27,90
Botswana,-22,24
Central African Republic,7,21
Canada,60,-95
Switzerland,47,8
Chile,-30,-71
China,35,105
Ivory Coast,8,-5
Cameroon,6,12
Republic of the Congo,-1,15
Cook Islands,-21,-159
Colombia,4,-72
Comoros,-12,44
Cape Verde,16,-24
Costa Rica,10,-84
Cuba,21,-80
Curacao,12,-68
Cayman Islands,19,-80
Cyprus,35,33
Czech Republic,49,15
Germany,51,9
Djibouti,11,43
Dominica,15,-61
Denmark,56,10
Dominican Republic,19,-70
Algeria,28,3
Ecuador,-2,-77
Egypt,27,30
Eritrea,15,39
Western Sahara,24,-13
Spain,40,-4
Estonia,59,26
Ethiopia,8,38
Finland,64,26
Fiji,-18,175
France,46,2
Faroe Islands,62,-7
Micronesia,6,158
Gabon,-1,11
United Kingdom,54,-2
Georgia,42,43
Guernsey,49,-2
Ghana,8,-2
Gibraltar,36,-5
Guinea,11,-10
The Gambia,13,-16
Equatorial Guinea,2,10
Greece,39,22
Grenada,12,-61
Greenland,72,-40
Guatemala,15,-90
Guam,13,144
Guyana,5,-59
Hong Kong,22,114
Honduras,15,-86
Croatia,45,15
Haiti,19,-72
Hungary,47,20
Indonesia,-5,120
Isle of Man,54,-4
India,20,77
Ireland,53,-8
Iran,32,53
Iraq,33,44
Iceland,65,-18
Israel,31,35
Italy,42,12
Jamaica,18,-77
Jersey,49,-2
Jordan,31,36
Japan,36,138
Kazakhstan,48,68
Kenya,1,38
Kyrgyzstan,41,75
Cambodia,13,105
Kiribati,1,173
Saint Kitts and Nevis,17,-62
South Korea,37,127
Kuwait,29,45
Laos,18,105
Lebanon,33,35
Liberia,6,-9
Libya,25,17
Saint Lucia,13,-60
Liechtenstein,47,9
Sri Lanka,7,81
Lesotho,-29,28
Lithuania,56,24
Luxembourg,49,6
Latvia,57,25
Macau,22,113
Saint Martin,18,-63
Morocco,32,-5
Monaco,43,7
Moldova,47,29
Madagascar,-20,47
Maldives,3,73
Mexico,23,-102
Marshall Islands,9,168
Mali,17,-4
Malta,35,14
Myanmar,22,98
Montenegro,42,19
Mongolia,46,105
Northern Mariana Islands,15,145
Mozambique,-18,35
Mauritania,20,-12
Montserrat,16,-62
Mauritius,-20,57
Malawi,-13,34
Malaysia,2,112
Namibia,-22,17
New Caledonia,-21,165
Niger,16,8
Nigeria,10,8
Nicaragua,13,-85
Netherlands,52,5
Norway,62,10
Nepal,28,84
Nauru,0,166
New Zealand,-41,174
Oman,21,57
Pakistan,30,70
Panama,9,-80
Peru,-10,-76
Philippines,13,122
Palau,7,134
Papua New Guinea,-6,147
Poland,52,20
Puerto Rico,18,-66
North Korea,40,127
Portugal,39,-8
Paraguay,-23,-58
Palestine,31,35
French Polynesia,-15,-140
Qatar,25,51
Romania,46,25
Russia,60,100
Rwanda,-2,30
Saudi Arabia,25,45
Sudan,15,30
Senegal,14,-14
Singapore,1,103
Solomon Islands,-8,159
Sierra Leone,8,-11
El Salvador,13,-88
San Marino,43,12
Somalia,10,49
Saint Pierre and Miquelon,46,-56
Serbia,44,21
South Sudan,7,30
Suriname,4,-56
Slovakia,48,19
Slovenia,46,14
Sweden,62,15
Sint Maarten,18,-63
Seychelles,-4,55
Syria,35,38
Turks and Caicos Islands,21,-71
Chad,15,19
Togo,8,1
Thailand,15,100
Tajikistan,39,71
Turkmenistan,40,60
East Timor,-8,125
Tonga,-20,-175
Trinidad and Tobago,11,-61
Tunisia,34,9
Turkey,39,35
Tuvalu,-8,178
Taiwan,23,121
Tanzania,-6,35
Uganda,1,32
Ukraine,49,32
Uruguay,-33,-56
United States,38,-97
Uzbekistan,41,64
Saint Vincent and the Grenadines,13,-61
Venezuela,8,-66
British Virgin Islands,18,-64
Vietnam,16,107
Vanuatu,-16,167
Wallis and Futuna,-13,-176
Samoa,-13,-172
Yemen,15,48
South Africa,-29,24
Zambia,-15,30
Zimbabwe,-20,30
